1: x1='2.5', x2='7.5'
2: x1='1.675670315364214', x2='13.38942766992492'
3: x1='0.6481286440989988', x2='7.9332238498291385'
4: x1='1.9858571204000572', x2='6.9025058954926335'
5: x1='-1.9019308710952059', x2='1.941577444836971'
6: x1='6.486831875177211', x2='9.307529111984016'
7: x1='0.5705676132312218', x2='11.811274054551852'
8: x1='8.242395205181623', x2='0.5410196620973207'
9: x1='6.58066460341098', x2='12.727239102326738'
10: x1='-0.5852430796004802', x2='12.512951859891901'
11: x1='2.1671091445987685', x2='12.04086322744262'
12: x1='8.41623069649523', x2='13.357578908416144'
13: x1='9.823193570400598', x2='12.56531786556105'
14: x1='-1.6753032797936052', x2='13.642549435998014'
15: x1='9.34954564629625', x2='0.6616026657424096'
16: x1='-0.4698841130672262', x2='10.909618968953618'
17: x1='9.99262583546151', x2='7.101225812024728'
18: x1='-4.561467529179118', x2='8.867972955560186'
19: x1='9.343236351955804', x2='9.499718284232301'
20: x1='6.7076085339257645', x2='6.655813066542998'
21: x1='9.38105627929211', x2='9.149527180114248'
22: x1='-0.6809069815026394', x2='1.7198957538577653'
23: x1='9.984906032455719', x2='13.439067507752146'
24: x1='-1.2671196821833437', x2='6.15674196591647'
25: x1='9.985274416842337', x2='13.365893967463215'
26: x1='-2.5630968532505385', x2='11.510738435387548'
27: x1='9.981927438224606', x2='14.586164081730905'
28: x1='1.2907542693348342', x2='3.0823360657500354'
29: x1='6.5279872831619805', x2='0.033784651257163234'
30: x1='0.7973348778373417', x2='11.677146191613627'
31: x1='5.636589661407923', x2='0.2975222032206626'
32: x1='3.897298190565632', x2='12.437559418765648'
33: x1='9.63302465475451', x2='1.022747765740215'
34: x1='5.159716857196175', x2='14.289966237249386'
35: x1='9.969070993864234', x2='6.4404170535430385'
36: x1='2.9955646408805405', x2='5.152613368857027'
37: x1='9.715856532568004', x2='1.1160933579399557'
38: x1='-1.373613258643069', x2='1.6865115361688476'
39: x1='9.89183340442347', x2='2.3382908648461243'
40: x1='2.9801166701044277', x2='7.572340536322479'
41: x1='9.942482312476594', x2='6.603619002722255'
42: x1='-3.9117687557982443', x2='7.799644237423577'
43: x1='9.646771276460662', x2='1.8644379726684701'
44: x1='9.97891055534956', x2='0.9641430625976671'
45: x1='8.024587819380416', x2='6.445759690710717'
46: x1='9.977389043154362', x2='2.708107387562504'
47: x1='8.881667578839277', x2='14.167120088309959'
48: x1='9.975714380994168', x2='5.656118879128453'
49: x1='1.9966397567645284', x2='4.511472655482259'
50: x1='9.979832970173783', x2='2.435943727703587'
51: x1='0.8811636506269487', x2='1.473297648985663'
52: x1='9.979876770384617', x2='7.956350050151052'
53: x1='2.933697421293725', x2='6.702308250230848'
54: x1='9.97934073003375', x2='7.376726636240528'
55: x1='9.980659545987734', x2='2.1971265147628953'
56: x1='8.529650196837766', x2='3.5535536107822736'
57: x1='9.99262583546151', x2='1.884918928125606'
58: x1='-1.204798212886653', x2='2.486710796476217'
59: x1='9.999826264021026', x2='3.8588205535986546'
60: x1='4.887534700035918', x2='6.412183955818199'
61: x1='9.994001240983604', x2='4.713691030256452'
62: x1='7.316970969435207', x2='0.7770877851995422'
63: x1='9.98934744587974', x2='5.788367716048526'
64: x1='6.978588577245807', x2='3.187617304797106'
65: x1='8.824283043136797', x2='2.231174585251974'
66: x1='9.98934744587974', x2='2.225842483791116'
67: x1='4.640082712970951', x2='6.118831964629383'
68: x1='1.621110048348747', x2='0.6967810330521879'
69: x1='6.3451854958506555', x2='3.6300344381440928'
70: x1='9.994001240983604', x2='2.025395623983042'
71: x1='3.177221770897644', x2='4.063262615318842'
72: x1='9.99496598259132', x2='0.8725693332346124'
73: x1='-2.3581420709908945', x2='7.857029882966745'
74: x1='9.989662312522762', x2='0.9563321723744012'
75: x1='-4.968026494923946', x2='0.06384444875863204'
76: x1='9.99779126709255', x2='5.0174991522001395'
77: x1='-4.706362444149504', x2='4.999560941202791'
78: x1='-0.09129816357871956', x2='2.879896442497679'
79: x1='-4.718570839498987', x2='4.2834898569451685'
80: x1='1.3535636756972576', x2='10.075822830906954'
81: x1='-4.7338286843989525', x2='5.537362600549394'
82: x1='1.7631512416037687', x2='11.532137451770842'
83: x1='-4.732668615955663', x2='5.975753706510525'
84: x1='4.447198667412323', x2='12.507219963673654'
85: x1='-4.710126209966163', x2='6.918593718684049'
86: x1='-2.2163431541288174', x2='0.459263753715799'
87: x1='-4.7297985397766995', x2='6.694615840598414'
88: x1='9.128366715236028', x2='0.051515870542636066'
89: x1='-1.0441349873031731', x2='4.814147633936484'
90: x1='8.964613559353436', x2='0.03521943049720033'
91: x1='8.05582505191225', x2='3.18445791742022'
92: x1='8.256343077236952', x2='0.03243944334004489'
93: x1='9.98852310882007', x2='3.525140098588833'
94: x1='3.1884482653016484', x2='0.033784651257163234'
95: x1='-0.13567914654544566', x2='11.522242201664486'
96: x1='2.147518854495317', x2='0.022231677842156627'
97: x1='-1.8419622237629047', x2='5.442697363402455'
98: x1='6.634285768665531', x2='0.06707794142363277'
99: x1='9.999741402965894', x2='12.685687950169399'
100: x1='-1.8014897311897853', x2='2.322617966858647'
